Country,PPP Adjusted GDP,Population,Life Expectancy
Australia,1.35621E+12,,82.74878049
Belgium,6.30528E+11,11484060,81.59512195
Brazil,3.22906E+12,211049530,75.672
Canada,1.9299E+12,37589260,81.94878049
China,2.35234E+13,1397715000,76.704
France,3.31512E+12,67059890,82.72439024
Germany,4.67857E+12,,80.89268293
India,9.56022E+12,1366417750,69.416
Indonesia,3.33814E+12,270625570,71.509
Italy,2.66805E+12,60297400,83.34634146
Japan,5.45915E+12,126264930,84.21097561
Mexico,2.62581E+12,127575530,74.992
Netherlands,1.03224E+12,,81.81219512
Nigeria,1.07772E+12,200963600,54.332
Poland,1.30738E+12,37970870,77.60243902
Russia,4.28181E+12,144373540,72.65731707
Saudi Arabia,1.68054E+12,,74.998
South Korea,2.23089E+12,51709100,82.62682927
Spain,1.98641E+12,47076780,83.43170732
Sweden,5.74133E+11,10285450,82.55853659
Switzerland,6.08721E+11,8574830,83.75365854
Thailand,1.34217E+12,,76.931
Turkey,2.34725E+12,,77.437
United Kingdom,3.25471E+12,66834400,81.25609756
United States,2.14332E+13,328239520,78.53902439
